name_customer,cust_number,invoice_id,total_open_amount,due_in_date,clear_date,Notes
LABAT us,200770567,1930664110,64970.42,03-04-2020,03-04-2020,abhinav
ROADTOWN corporation,100049850,1991839920,12992.85,28-04-2020,01-05-2020,abhinav
WAL-MAR foundation,200769623,1930756600,48540.33,22-04-2020,20-04-2020,abhinav
DECA trust,200230690,1930857287,4131.04,24-05-2020,23-05-2020,abhinav
WAL-MAR co,200769623,1930749246,56688.43,22-04-2020,18-04-2020,abhinav
C&S WH corp,200762301,1930804145,13784.74,06-05-2020,05-05-2020,abhinav
C&S WH corporation,200762301,1930832148,3416.4,12-05-2020,12-05-2020,abhinav
WAL-MAR ,200769623,1930774430,471.56,25-04-2020,21-04-2020,abhinav
PUBLI llc,200707822,1930686228,115760.36,06-04-2020,07-04-2020,abhinav
COSTCO us,140104429,2960627078,191265.45,28-04-2020,06-05-2020,abhinav
KROGE corp,200776463,1930709894,47212.39,11-04-2020,12-04-2020,abhinav
BJ'S  ,200726979,1930642836,15759.28,26-03-2020,26-03-2020,abhinav
METRO  us,140104423,2960619020,51646.37,20-03-2020,23-03-2020,abhinav
TARG ,200744019,1930672803,11359.26,04-04-2020,31-03-2020,abhinav
WAL-MAR trust,200769623,1930834262,12292.59,15-05-2020,07-06-2020,abhinav
WAL-MAR corporation,200769623,1930571409,33704.06,14-03-2020,12-03-2020,abhinav
PUBLI llc,200707822,1930723611,72575.97,15-04-2020,14-04-2020,abhinav
SO trust,140104440,2960618094,115152.16,27-03-2020,30-03-2020,abhinav
PEA corporation,100024776,1930782759,9660.7,20-05-2020,19-05-2020,abhinav
SYGMA ,200782669,1930728185,2380.66,24-04-2020,26-04-2020,abhinav
WAL-MAR co,200769623,1930681365,63154.46,06-04-2020,29-03-2020,abhinav
COLOME systems,200825136,1990571323,76925.11,07-04-2020,13-04-2020,abhinav
DOT associates,200705742,1930592412,79226.43,03-04-2020,03-04-2020,abhinav
TARG ,200744019,1930839185,6054.89,16-05-2020,15-05-2020,abhinav
WAL-MAR us,200769623,1930675235,661.11,05-04-2020,02-04-2020,abhinav
WAL-MAR ,200769623,1930715302,527.32,13-04-2020,16-05-2020,abhinav
WAL-MAR us,200769623,1930654388,34415.11,31-03-2020,01-04-2020,abhinav
HAR ,200762950,1930859424,47194.45,20-05-2020,20-05-2020,abhinav
WAL-MAR trust,200769623,1930813612,661.11,08-05-2020,05-05-2020,abhinav
SA associates,200759878,1930753421,136382.44,20-04-2020,22-04-2020,abhinav
LOB systems,140104409,2960630362,26596.95,09-05-2020,16-05-2020,abhinav
COASTAL  co,100001452,1930843268,3271.73,27-05-2020,23-05-2020,abhinav
WAL-MAR ,200769623,1930715501,6625.3,14-04-2020,13-04-2020,abhinav
WAL-MAR associates,200769623,1930602909,1898.9,20-03-2020,16-03-2020,abhinav
SA associates,200759878,1930597253,46171.98,19-03-2020,21-03-2020,abhinav
C&S WH corporation,200762301,1930827781,138122.52,11-05-2020,11-05-2020,abhinav
TARG llc,200744019,1930700689,68443.53,11-04-2020,21-04-2020,abhinav
BOZZU trust,200779906,1930703852,120883.87,13-04-2020,15-04-2020,abhinav
WAL-MAR corporation,200769623,1930635442,59155.02,25-03-2020,24-03-2020,abhinav
WINC corp,200706844,1930624686,2660.98,26-03-2020,21-03-2020,abhinav
SA trust,200759878,1930801461,34649.91,05-05-2020,05-05-2020,abhinav
WAL-MAR ,200769623,1930582503,261.96,15-03-2020,15-03-2020,abhinav
DEC systems,200416837,1930811745,4781.62,09-05-2020,08-05-2020,abhinav
MITCH llc,200799342,1930797768,8322,02-05-2020,29-04-2020,abhinav
WAL-MAR in,200769623,1930799309,471.56,02-05-2020,28-04-2020,abhinav
DEC us,200020431,1930767841,41688.21,08-04-2020,09-04-2020,abhinav
COST foundation,200794332,1930660970,32715.47,01-04-2020,31-03-2020,abhinav
C&S WH foundation,200762301,1930622995,2509.91,13-05-2020,12-05-2020,abhinav
DECA llc,200592182,1930624272,4067.68,11-03-2020,04-03-2020,abhinav
DEC associates,200020431,1930599641,3606.38,11-03-2020,11-03-2020,abhinav
WAL-MAR corporation,200769623,1930724744,5971.87,16-04-2020,16-04-2020,abhinav
WAL-MAR corporation,200769623,1930671805,16308.19,04-04-2020,31-03-2020,abhinav
MDV/ trust,200792734,1930642823,56005.74,26-03-2020,24-03-2020,abhinav
BEN E us,200980828,1930722956,22981.2,14-04-2020,13-04-2020,abhinav
DELHAIZE systems,100031704,1930733246,100763.51,17-04-2020,16-04-2020,abhinav
WAL-MAR us,200769623,1930573798,29246.65,13-03-2020,15-03-2020,abhinav
WAL-M associates,140106408,2960631032,11520,07-05-2020,14-05-2020,abhinav
HY -  foundation,200795490,1930684021,72541.68,05-04-2020,05-04-2020,abhinav
SA co,200759878,1930641513,27068.46,28-03-2020,26-03-2020,abhinav
MCLANE foundation,200126819,1930592286,26266,19-03-2020,19-03-2020,abhinav
SO associates,140104440,2960616072,62680.46,18-03-2020,24-03-2020,abhinav
DELHAIZE ,100031704,1930623081,72538.86,25-03-2020,25-03-2020,abhinav
UNIFIE trust,200792293,1930800890,92513.23,05-05-2020,04-05-2020,abhinav
SAFEW llc,200772595,1930705414,100049.11,12-04-2020,01-04-2020,abhinav
METRO  ,140104423,2960630771,53056.68,15-05-2020,22-05-2020,abhinav
SA trust,200759878,1930716820,12948.62,15-04-2020,26-04-2020,abhinav
WAL-MAR in,200769623,1930606394,47994.48,21-03-2020,18-03-2020,abhinav
M in,200793830,1930727954,39643.16,16-04-2020,14-04-2020,abhinav
ALBERT ,200920735,1930586617,34479.9,17-03-2020,21-03-2020,abhinav
WAL-MAR co,200769623,1930854120,9943.88,18-05-2020,16-05-2020,abhinav
SO systems,140104440,2960626917,104780.98,24-04-2020,27-04-2020,abhinav
HY -  systems,200795490,1930795694,94382.49,01-05-2020,03-05-2020,abhinav
KROGER corp,200793513,1930784318,56500.55,29-04-2020,03-05-2020,abhinav
MEIJ foundation,200780383,1930723436,42678.06,15-04-2020,23-04-2020,abhinav
WAL-MAR corporation,200769623,1930813086,367.71,07-05-2020,07-05-2020,abhinav
WAL-MAR us,200769623,1930683617,485.06,04-04-2020,03-04-2020,abhinav
KROGER trust,200729290,1930844224,72990.28,15-05-2020,17-05-2020,abhinav
H T H us,200078795,1930632677,85.24,14-05-2020,14-05-2020,abhinav
WAL-MAR in,200769623,1930597363,1898.9,19-03-2020,15-03-2020,abhinav
WEGMAN in,200711029,1930750176,2267.39,23-04-2020,17-04-2020,abhinav
BJ'S  llc,200726979,1930577353,502.08,13-03-2020,09-03-2020,abhinav
DECA us,200353024,1930690404,611.88,08-04-2020,17-04-2020,abhinav
HY -  systems,200795490,1930653410,78784.79,29-03-2020,31-03-2020,abhinav
WAL-MAR us,200769623,1930885616,28099.43,25-05-2020,27-05-2020,abhinav
BJ'S  systems,200726979,1930772981,1087.35,24-04-2020,22-04-2020,abhinav
BOZZU ,200779906,1930844043,10974.27,16-05-2020,16-05-2020,abhinav
MCLANE co,200126819,1930687632,17615.52,07-04-2020,06-04-2020,abhinav
SA associates,200729942,1930736100,8073.26,06-06-2020,06-06-2020,abhinav
PUBLI corp,200707822,1930584293,58701.98,15-03-2020,13-03-2020,abhinav
STATER  corporation,200743996,1930655063,71429.84,02-04-2020,30-03-2020,abhinav
SA llc,200759878,1930727110,2248.17,16-04-2020,16-04-2020,abhinav
ASSOCIAT ,200772670,1930725727,94403.06,15-04-2020,22-04-2020,abhinav
WAL-MAR trust,200769623,1930606534,2333.22,21-03-2020,18-03-2020,abhinav
C&S WH ,200762301,1930617947,8573.89,22-03-2020,18-03-2020,abhinav
FR us,200705372,1930687742,17180.66,07-04-2020,06-04-2020,abhinav
C&S W co,200965912,1930717582,42045.87,13-04-2020,13-04-2020,abhinav
ASSOCIAT foundation,200772670,1930766830,35419.61,23-04-2020,24-04-2020,abhinav
WAL-MAR in,200769623,1930682389,28615.15,07-04-2020,02-04-2020,abhinav
AL associates,200739006,1930846810,60829.71,16-05-2020,18-05-2020,abhinav
SA us,200759878,1930686308,22548.04,07-04-2020,05-04-2020,abhinav
WAL-MAR systems,200769623,1930874618,661.11,23-05-2020,20-05-2020,abhinav
WAL-MAR ,200769623,1930747161,36742.87,21-04-2020,14-04-2020,abhinav
ALBERT ,200920735,1930789282,83838.98,02-05-2020,01-05-2020,abhinav
C&S WH in,200762301,1930585551,34273.05,17-03-2020,16-03-2020,abhinav
GORDON F foundation,140105847,2960621080,7791.3,28-03-2020,28-03-2020,abhinav
WAL-MAR ,200769623,1930779576,1898.2,27-04-2020,23-04-2020,abhinav
JETRO ,200833713,1930669190,744.03,02-04-2020,09-04-2020,abhinav
REINHA corporation,200756072,1930629695,29845.06,24-03-2020,23-03-2020,abhinav
M B  ,200741174,1930600162,17929.8,11-04-2020,14-04-2020,abhinav
HAR systems,200762950,1930624660,19203.07,24-03-2020,27-03-2020,abhinav
FAMILY systems,200786288,1930819656,49100.31,09-05-2020,10-05-2020,abhinav
AM in,200418007,1930719393,1626.1,17-04-2020,08-04-2020,abhinav
DECA us,200230690,1930674516,7352.11,26-03-2020,25-03-2020,abhinav
SA corp,200759878,1930746744,19489.37,20-04-2020,11-05-2020,abhinav
WAL-MAR in,200769623,1930681137,38164.12,05-04-2020,09-04-2020,abhinav
PAPA JO corp,100043936,1930881021,18145.19,21-05-2020,22-05-2020,abhinav
WAL-MAR trust,200769623,1930678767,3227.43,05-04-2020,02-04-2020,abhinav
WAL-MAR in,200769623,1930585866,13206.44,17-03-2020,16-03-2020,abhinav
KRAFT  systems,CCCA02,1930674187,14151.51,24-04-2020,27-04-2020,abhinav
RICH llc,200956366,1930760814,50917.68,24-04-2020,22-04-2020,abhinav
COST trust,200794332,1930594667,13758.48,18-03-2020,21-03-2020,abhinav
SA corporation,200729942,1930723696,15387.73,03-06-2020,31-05-2020,abhinav
US  systems,200797452,1930610425,42822.23,20-03-2020,01-04-2020,abhinav
WAL-MAR ,200769623,1930851113,27894.86,16-05-2020,17-05-2020,abhinav
BROOKS us,200727272,1930599962,61104.52,19-03-2020,22-03-2020,abhinav
MEIJ associates,200780383,1930589561,35925.96,18-03-2020,18-03-2020,abhinav
C&S WH in,200762301,1930657486,167692.12,31-03-2020,01-04-2020,abhinav
LOB systems,140104409,2960631541,220893,14-05-2020,24-05-2020,abhinav
AM associates,200418007,1930745427,49633.84,20-04-2020,23-04-2020,abhinav
COST systems,200794332,1930799274,34823.12,03-05-2020,01-05-2020,abhinav
HAR us,200762950,1930801560,95573.78,06-05-2020,06-05-2020,abhinav
C&S WH ,200762301,1930756724,32308.54,21-04-2020,25-04-2020,abhinav
KRAFT  llc,CCCA02,1930643434,16934.4,17-04-2020,01-05-2020,abhinav
SA ,200759878,1930705923,24429.67,11-04-2020,10-04-2020,abhinav
DRIS us,200200412,1930799648,35213.34,06-05-2020,06-05-2020,abhinav
WAL-MAR corp,200769623,1930778436,3270.04,28-04-2020,24-04-2020,abhinav
KROGER systems,200732755,1930583262,96293.9,15-03-2020,15-03-2020,abhinav
ASSOCIAT in,200772670,1930707337,90065.8,10-04-2020,10-04-2020,abhinav
RESTA co,200974851,1930643400,2222.15,26-03-2020,26-03-2020,abhinav
C&S WH in,200762301,1930760618,95002.11,22-04-2020,23-04-2020,abhinav
WAL-MAR corporation,200769623,1930780876,9682.49,28-04-2020,05-05-2020,abhinav
SO us,140104440,2960625866,171587.33,15-04-2020,20-04-2020,abhinav
UNIFIE co,200792293,1930703732,24186.82,09-04-2020,09-04-2020,abhinav
DOLLAR corp,100001196,1930804771,7271.74,06-05-2020,04-05-2020,abhinav
BJ'S  corporation,200726979,1930793304,99.54,01-05-2020,17-05-2020,abhinav
WAL-MAR co,200769623,1930793019,41755.56,01-05-2020,02-05-2020,abhinav
INGL llc,200759082,1930646428,32436.27,16-05-2020,17-05-2020,abhinav
COST associates,200794332,1930850453,2466.86,20-05-2020,19-05-2020,abhinav
WAL-MAR trust,200769623,1930778895,1053.78,29-04-2020,28-04-2020,abhinav
AM corp,200418007,1930780650,7176.92,29-04-2020,01-05-2020,abhinav
KE co,200955827,1930578989,33654.32,15-03-2020,17-03-2020,abhinav
WAL-MAR systems,200769623,1930665474,48371.08,02-04-2020,29-03-2020,abhinav
C&S WH co,200762301,1930827905,4753.86,12-05-2020,07-05-2020,abhinav
WAL-MAR us,200769623,1930782711,14761.84,29-04-2020,21-05-2020,abhinav
OK us,200739534,1930783731,40567.42,29-04-2020,08-05-2020,abhinav
WAL-MAR corporation,200769623,1930801062,61.29,04-05-2020,05-05-2020,abhinav
WAL-M llc,140106408,2960620966,112661.15,28-03-2020,11-04-2020,abhinav
SOB associates,140104249,2960630273,6140.37,07-05-2020,11-05-2020,abhinav
SO foundation,140104440,2960628707,79669.75,23-04-2020,25-04-2020,abhinav
KEEFE  trust,200713007,1930718151,63875.67,14-04-2020,14-04-2020,abhinav
SMITH'S ,200820380,1930685032,16598.56,08-04-2020,13-04-2020,abhinav
ANTONIO trust,200447006,1930732367,20515.45,18-04-2020,20-04-2020,abhinav
RA associates,200704045,1930705755,52763.18,10-04-2020,07-04-2020,abhinav
SO llc,140104440,2960621548,101588.24,28-03-2020,29-03-2020,abhinav
C&S WH systems,200762301,1930781062,372.8,29-04-2020,28-04-2020,abhinav
DECA co,200230690,1930807918,203.28,09-05-2020,05-05-2020,abhinav
BANNER corp,200756762,1930759755,7695.23,25-04-2020,17-04-2020,abhinav
WAL-MAR trust,200769623,1930651898,2439.5,31-03-2020,30-03-2020,abhinav
DELHAIZE corporation,100031704,1930857200,63591.88,19-05-2020,19-05-2020,abhinav
LOB llc,140104409,2960617474,10569.17,20-03-2020,24-03-2020,abhinav
RICH foundation,200956366,1930597209,52315.56,20-03-2020,19-03-2020,abhinav
PEA trust,200455322,1930705784,89328.12,25-04-2020,25-04-2020,abhinav
WINC associates,200706844,1930760116,30634.52,16-04-2020,20-04-2020,abhinav
WAL-MAR co,200769623,1930648084,47450.88,28-03-2020,28-03-2020,abhinav
WAL-MAR corporation,200769623,1930733910,63997.14,19-04-2020,19-04-2020,abhinav
LOB systems,140104409,2960621683,37219.67,30-03-2020,27-03-2020,abhinav
WAKE systems,200704858,1930862929,17641.27,22-05-2020,21-05-2020,abhinav
WAL-MAR corp,200769623,1930716326,4342.03,13-04-2020,07-04-2020,abhinav
WAL-MAR co,200769623,1930716679,2350.76,13-04-2020,08-04-2020,abhinav
RA ,200704045,1930855064,31303.65,19-05-2020,19-05-2020,abhinav
BJ'S  ,200726979,1930778832,473.34,27-04-2020,04-05-2020,abhinav
SUPE associates,200936373,1930567720,50961.43,13-03-2020,11-03-2020,abhinav
H E BUT systems,200761734,1930794906,34664.93,01-05-2020,01-05-2020,abhinav
KROGER corp,200729290,1930797096,85697.06,01-05-2020,01-05-2020,abhinav
WAL-MAR us,200769623,1930619448,62689.01,22-03-2020,22-03-2020,abhinav
BJ'S  systems,200726979,1930685160,357.54,06-04-2020,05-04-2020,abhinav
BJ'S  corporation,200726979,1930693544,1597.17,09-04-2020,03-04-2020,abhinav
WAL-MAR corp,200769623,1930884622,22208.99,25-05-2020,22-05-2020,abhinav
BLOU trust,200727278,1930665296,9800.28,08-04-2020,04-04-2020,abhinav
METRO  llc,140104423,2960621077,46815.57,27-03-2020,31-03-2020,abhinav
ASSOCIAT associates,200772670,1930758162,3810.14,21-04-2020,21-04-2020,abhinav
MDV/ associates,200792734,1930791346,4004.01,30-04-2020,27-04-2020,abhinav
KROGER co,200793513,1930687937,13994.14,08-04-2020,08-04-2020,abhinav
WAL-MAR associates,200769623,1930822301,38225.02,10-05-2020,10-05-2020,abhinav
COST foundation,200794332,1930628252,1444.84,28-03-2020,27-03-2020,abhinav
DEMOU in,200793088,1930719090,163833.18,16-04-2020,17-04-2020,abhinav
U R M  ,200773364,1930684665,97182.77,08-04-2020,07-04-2020,abhinav
C&S WH corp,200762301,1930653421,1535.38,31-03-2020,08-03-2020,abhinav
KROGER corp,200875006,1930631749,60503.71,25-03-2020,25-03-2020,abhinav
SARA LE corp,100054980,1930587302,1830.24,17-04-2020,16-04-2020,abhinav
H E BUT trust,200761734,1930729495,52432.86,18-04-2020,16-04-2020,abhinav
WAL-MAR foundation,200769623,1930647409,1356.55,27-03-2020,24-03-2020,abhinav
WAL-MAR llc,200769623,1930852797,32663.02,21-05-2020,21-05-2020,abhinav
DECA llc,200230690,1930670522,4157.28,23-03-2020,24-03-2020,abhinav
PUBLI ,200707822,1930828042,18918.47,11-05-2020,09-05-2020,abhinav
WAKE ,200704858,1930763659,7209.12,23-04-2020,23-04-2020,abhinav
WAL-MAR llc,200769623,1930854664,12219.74,18-05-2020,18-05-2020,abhinav
JRD in,200781803,1930609935,11536.19,22-03-2020,22-03-2020,abhinav
FAMILY us,200786288,1930797201,14158.78,02-05-2020,01-05-2020,abhinav
WALG systems,200712105,1930636973,97205.06,26-03-2020,26-03-2020,abhinav
C&S WH systems,200762301,1930756799,5593.78,12-06-2020,10-06-2020,abhinav
SOB us,140104249,2960629304,105404.75,05-05-2020,08-05-2020,abhinav
RIVER  llc,200789896,1930765682,19532.43,23-04-2020,29-04-2020,abhinav
LOB associates,140104409,2960627455,42921.77,26-04-2020,05-05-2020,abhinav
GO llc,200721222,1930690137,134240.55,08-04-2020,08-04-2020,abhinav
WAL-MAR foundation,200769623,1930637078,34456.05,27-03-2020,27-03-2020,abhinav
WAL-MAR trust,200769623,1930651362,46556.82,31-03-2020,10-03-2020,abhinav
FLANAG trust,140104392,2960617808,680.11,14-03-2020,16-03-2020,abhinav
SA ,200759878,1930668163,27113.68,03-04-2020,02-04-2020,abhinav
WAL-MAR trust,200769623,1930844794,3957.23,21-05-2020,20-05-2020,abhinav
SA us,200759878,1930723205,4069.81,15-04-2020,07-04-2020,abhinav
WAL-MAR in,200769623,1930623124,1329.23,25-03-2020,21-03-2020,abhinav
WAL-MAR in,200769623,1930758929,4646.62,24-04-2020,23-04-2020,abhinav
C&S WH co,200762301,1930759122,99686.61,24-04-2020,19-04-2020,abhinav
DOLLAR foundation,100001196,1930753419,29547.94,22-04-2020,23-04-2020,abhinav
FATH foundation,200071186,1930789924,46945.8,01-05-2020,29-04-2020,abhinav
KROG systems,200609331,1930637776,17374.42,26-03-2020,25-03-2020,abhinav
SMART &  co,200707741,1930761033,13922.51,22-04-2020,06-05-2020,abhinav
WAL-MAR llc,200769623,1930831673,19231.05,14-05-2020,19-05-2020,abhinav
SA trust,200759878,1930794868,9068.88,02-05-2020,23-04-2020,abhinav
WAL-MAR us,200769623,1930652702,7837.45,01-04-2020,05-03-2020,abhinav
SAFEW associates,200772595,1930853078,1690.62,18-05-2020,14-05-2020,abhinav
C&S WH systems,200762301,1930684063,144806.83,06-04-2020,04-04-2020,abhinav
WAL-MAR associates,200769623,1930882527,7485.35,25-05-2020,22-05-2020,abhinav
WAL-MAR foundation,200769623,1930831800,35844.74,13-05-2020,14-05-2020,abhinav
SO in,140104440,2960629691,32422.85,02-05-2020,07-05-2020,abhinav
STATER  trust,200743996,1930793000,1585.92,30-04-2020,24-04-2020,abhinav
MEIJ trust,200780383,1930861815,7561.7,21-05-2020,21-05-2020,abhinav
WAL-MAR associates,200769623,1930629901,19120.38,27-03-2020,17-03-2020,abhinav
FOODL ,200508557,1930661266,3061.52,10-04-2020,09-04-2020,abhinav
BJ'S  associates,200726979,1930636978,414.74,25-03-2020,30-03-2020,abhinav
AM associates,200418007,1930718291,7988.98,14-04-2020,18-04-2020,abhinav
COST corp,200794332,1930793697,73576.39,02-05-2020,29-04-2020,abhinav
DEC corp,200803720,1930699323,29243.63,26-03-2020,31-03-2020,abhinav
PEA ,100025658,1930733038,10323.24,01-05-2020,11-05-2020,abhinav
LOB in,140104409,2960628727,101579.12,26-04-2020,27-04-2020,abhinav
WAL-MAR co,200769623,1930797445,8973.25,02-05-2020,02-05-2020,abhinav
ALBERT co,200881076,1930788546,23288.71,30-04-2020,05-05-2020,abhinav
WAL-MAR foundation,200769623,1930802331,34424.01,04-05-2020,06-05-2020,abhinav
DEC corp,200416837,1930813131,4355.4,26-04-2020,21-04-2020,abhinav
SYSC corp,140105686,2960631166,4299.07,17-05-2020,18-05-2020,abhinav
WAL-MAR us,200769623,1930670596,27654.54,03-04-2020,04-04-2020,abhinav
WAL-MAR systems,200769623,1930709036,13150.54,13-04-2020,12-04-2020,abhinav
MCL trust,200799367,1930660644,121944.74,01-04-2020,01-04-2020,abhinav
KROGER foundation,200743123,1930801725,43039.04,05-05-2020,05-05-2020,abhinav
WAL-MAR us,200769623,1930700363,21379.39,10-04-2020,11-04-2020,abhinav
WAL-MAR systems,200769623,1930883881,18821.97,25-05-2020,26-05-2020,abhinav
DEC ,200416837,1930599185,4256.92,24-03-2020,24-03-2020,abhinav
WAL-MAR corp,200769623,1930854941,2814.19,19-05-2020,19-05-2020,abhinav
H E BUT in,200761734,1930827172,53401.58,11-05-2020,12-05-2020,abhinav
C&S WH associates,200762301,1930777919,6940.86,16-06-2020,16-06-2020,abhinav
AM co,200418007,1930781107,23753.76,30-04-2020,10-05-2020,abhinav
DOLLA trust,200148860,1930722755,55795.79,16-04-2020,16-04-2020,abhinav
BJ'S  co,200726979,1930779572,339.47,28-04-2020,27-04-2020,abhinav
SA corporation,200759878,1930566584,15005.29,14-03-2020,15-03-2020,abhinav
AM trust,200418007,1930856123,1187.11,22-05-2020,20-05-2020,abhinav
WAL-MAR corporation,200769623,1930757899,3797.1,23-04-2020,19-04-2020,abhinav
INGL foundation,200759082,1930746913,38693.11,18-04-2020,21-04-2020,abhinav
C&S WH us,200762301,1930629792,6226.39,25-03-2020,23-03-2020,abhinav
WAL-MAR llc,200769623,1930652776,10389.68,30-03-2020,31-03-2020,abhinav
SA llc,200759878,1930616865,13976.95,22-03-2020,24-03-2020,abhinav
COST in,200794332,1930611075,27010.5,21-03-2020,24-03-2020,abhinav
TARG in,200744019,1930664179,16564.48,22-05-2020,23-05-2020,abhinav
WAL-MAR associates,200769623,1930843005,1329.23,16-05-2020,12-05-2020,abhinav
WAL-MAR in,200769623,1930859761,652.78,21-05-2020,20-05-2020,abhinav
WEIS corporation,200771157,1930841927,40521.43,14-05-2020,17-05-2020,abhinav
WAL-MAR in,200769623,1930847495,798.09,17-05-2020,17-05-2020,abhinav
C us,200778870,1930693902,12559.35,08-04-2020,07-04-2020,abhinav
WAL-MAR associates,200769623,1930686056,74072.3,08-04-2020,09-04-2020,abhinav
WAL-MAR systems,200769623,1930703712,41111.47,11-04-2020,10-04-2020,abhinav
COLABOR  us,140104340,2960617164,79.46,10-03-2020,15-03-2020,abhinav
WAL-M corporation,140106408,2960618385,22982.58,17-03-2020,15-05-2020,abhinav
WAL-MAR trust,200769623,1930862137,29402.89,22-05-2020,23-05-2020,abhinav
C&S WH associates,200762301,1930638121,54577.17,26-03-2020,26-03-2020,abhinav
BJ'S  us,200726979,1930630580,9222.81,27-03-2020,28-03-2020,abhinav
DOLLA associates,200148860,1930853757,62639.35,19-05-2020,16-05-2020,abhinav
SA llc,200759878,1930834063,69359.9,14-05-2020,14-05-2020,abhinav
WAL-MAR co,200769623,1930704901,40831.34,11-04-2020,09-04-2020,abhinav
S AB corporation,200752393,1930820106,7525.9,14-05-2020,14-05-2020,abhinav
KROGER llc,200748108,1930739679,44160.18,18-04-2020,16-04-2020,abhinav
MCL associates,200799367,1930646351,54294.21,27-03-2020,25-03-2020,abhinav
WAL-MAR trust,200769623,1930831174,6236.94,13-05-2020,11-05-2020,abhinav
WAL-MAR ,200769623,1930713420,1370.65,13-04-2020,13-04-2020,abhinav
COSTCO us,140104429,2960633840,7004.29,23-05-2020,30-05-2020,abhinav
WAL-MAR us,200769623,1930654834,15201.89,30-03-2020,30-03-2020,abhinav
BLAKE us,100025066,1930799365,31142.44,06-05-2020,05-05-2020,abhinav
WAL-MAR foundation,200769623,1930819024,17849.27,09-05-2020,09-05-2020,abhinav
CO corp,200561861,1930646580,30906.69,03-04-2020,03-04-2020,abhinav
WAL-MAR associates,200769623,1930688259,35080.11,07-04-2020,04-04-2020,abhinav
ASSOC G ,200782772,1930748790,42916.12,19-04-2020,18-04-2020,abhinav
WAL-MAR systems,200769623,1930647770,26208.18,29-03-2020,23-03-2020,abhinav
TARG ,200744019,1930755472,62692.29,20-04-2020,20-04-2020,abhinav
SO ,140104440,2960628010,117628.5,29-04-2020,26-05-2020,abhinav
SMART &  corporation,200707741,1930666052,41060.81,02-04-2020,10-04-2020,abhinav
WAL-MAR foundation,200769623,1930724369,9882.88,16-04-2020,17-04-2020,abhinav
DOT corp,200705742,1930682814,13267.24,08-04-2020,09-04-2020,abhinav
WAL-MAR co,200769623,1930797839,1845.06,02-05-2020,13-05-2020,abhinav
COST llc,200794332,1930607549,6611.63,21-03-2020,13-03-2020,abhinav
WAL-MAR ,200769623,1930831781,69982.02,14-05-2020,13-05-2020,abhinav
DEC llc,200020431,1930682743,4375.34,08-04-2020,08-04-2020,abhinav
KRAFT F llc,CCU013,1930636490,22298.84,13-03-2020,20-02-2020,abhinav
DECA corp,200592182,1930696111,37221.52,26-03-2020,05-04-2020,abhinav
WAL-MAR corporation,200769623,1930617065,13628.84,22-03-2020,21-03-2020,abhinav
BOZZU co,200779906,1930849262,2313.6,19-05-2020,20-05-2020,abhinav
C&S WH corporation,200762301,1930826702,6700.73,10-05-2020,27-05-2020,abhinav
SA trust,200759878,1930799421,32274.7,05-05-2020,06-05-2020,abhinav
SAVE-ON- trust,140104225,2960629317,92947.4,27-04-2020,19-06-2020,abhinav
